fips,name,state,Number_of_returns,estimated_exams,audit_rate,audit_rate_trunk
48411,"San Saba County, Texas",Texas,9580.0,88.0,9.18580375782881,9.18580375782881
48413,"Schleicher County, Texas",Texas,4950.0,45.0,9.09090909090909,9.09090909090909
48415,"Scurry County, Texas",Texas,28200.0,215.0,7.624113475177305,7.624113475177305
48417,"Shackelford County, Texas",Texas,5980.0,57.0,9.531772575250836,9.531772575250836
48419,"Shelby County, Texas",Texas,41530.0,354.0,8.523958584156032,8.523958584156032
48421,"Sherman County, Texas",Texas,4390.0,34.0,7.744874715261957,7.744874715261957
48423,"Smith County, Texas",Texas,387620.0,3079.0,7.9433465765440365,7.9433465765440365
48425,"Somervell County, Texas",Texas,14880.0,115.0,7.728494623655914,7.728494623655914
48427,"Starr County, Texas",Texas,95780.0,995.0,10.38839006055544,10.38839006055544
48429,"Stephens County, Texas",Texas,14700.0,124.0,8.435374149659863,8.435374149659863
48431,"Sterling County, Texas",Texas,2360.0,10.0,4.2372881355932215,6.0
48433,"Stonewall County, Texas",Texas,2530.0,16.0,6.324110671936759,6.324110671936759
48435,"Sutton County, Texas",Texas,7410.0,62.0,8.367071524966262,8.367071524966262
48437,"Swisher County, Texas",Texas,11550.0,105.0,9.09090909090909,9.09090909090909
48439,"Tarrant County, Texas",Texas,3554680.0,27876.0,7.84205610631618,7.84205610631618
48441,"Taylor County, Texas",Texas,241500.0,1918.0,7.942028985507245,7.942028985507245
48443,"Terrell County, Texas",Texas,1550.0,6.0,3.870967741935484,6.0
48445,"Terry County, Texas",Texas,19270.0,172.0,8.92579138557343,8.92579138557343
48447,"Throckmorton County, Texas",Texas,2730.0,20.0,7.326007326007326,7.326007326007326
48449,"Titus County, Texas",Texas,53930.0,450.0,8.344149823845726,8.344149823845726
48451,"Tom Green County, Texas",Texas,209310.0,1616.0,7.7206058000095545,7.7206058000095545
48453,"Travis County, Texas",Texas,2505150.0,19921.0,7.952018841187153,7.952018841187153
48455,"Trinity County, Texas",Texas,22950.0,190.0,8.278867102396513,8.278867102396513
48457,"Tyler County, Texas",Texas,29630.0,240.0,8.099898751265611,8.099898751265611
48459,"Upshur County, Texas",Texas,64300.0,505.0,7.853810264385692,7.853810264385692
48461,"Upton County, Texas",Texas,5960.0,45.0,7.550335570469799,7.550335570469799
48463,"Uvalde County, Texas",Texas,47480.0,443.0,9.330244313395113,9.330244313395113
48465,"Val Verde County, Texas",Texas,83190.0,719.0,8.642865729053973,8.642865729053973
48467,"Van Zandt County, Texas",Texas,86970.0,692.0,7.95676670116132,7.95676670116132
48469,"Victoria County, Texas",Texas,168520.0,1331.0,7.898172323759793,7.898172323759793
48471,"Walker County, Texas",Texas,93640.0,738.0,7.881247330200769,7.881247330200769
48473,"Waller County, Texas",Texas,73830.0,596.0,8.072599214411486,8.072599214411486
48475,"Ward County, Texas",Texas,20060.0,154.0,7.676969092721834,7.676969092721834
48477,"Washington County, Texas",Texas,64090.0,504.0,7.863941332501169,7.863941332501169
48479,"Webb County, Texas",Texas,432310.0,4145.0,9.588027110175569,9.588027110175569
48481,"Wharton County, Texas",Texas,77080.0,633.0,8.212247016087183,8.212247016087183
48483,"Wheeler County, Texas",Texas,9990.0,80.0,8.008008008008009,8.008008008008009
48485,"Wichita County, Texas",Texas,217500.0,1693.0,7.783908045977012,7.783908045977012
48487,"Wilbarger County, Texas",Texas,22960.0,191.0,8.318815331010454,8.318815331010454
48489,"Willacy County, Texas",Texas,29620.0,295.0,9.959486833220797,9.959486833220797
48491,"Williamson County, Texas",Texas,891350.0,6341.0,7.11392831098895,7.11392831098895
48493,"Wilson County, Texas",Texas,80170.0,594.0,7.409255332418611,7.409255332418611
48495,"Winkler County, Texas",Texas,12970.0,94.0,7.247494217424826,7.247494217424826
48497,"Wise County, Texas",Texas,106660.0,801.0,7.50984436527283,7.50984436527283
48499,"Wood County, Texas",Texas,71910.0,563.0,7.829230983173412,7.829230983173412
48501,"Yoakum County, Texas",Texas,14270.0,107.0,7.498248072880168,7.498248072880168
48503,"Young County, Texas",Texas,31860.0,262.0,8.223477715003138,8.223477715003138
48505,"Zapata County, Texas",Texas,20610.0,214.0,10.383309073265405,10.383309073265405
48507,"Zavala County, Texas",Texas,18500.0,185.0,10.0,10.0
49001,"Beaver County, Utah",Utah,10430.0,76.0,7.286673058485138,7.286673058485138
49003,"Box Elder County, Utah",Utah,83970.0,602.0,7.169227104918424,7.169227104918424
49005,"Cache County, Utah",Utah,181290.0,1315.0,7.253571625572286,7.253571625572286
49007,"Carbon County, Utah",Utah,32120.0,233.0,7.2540473225404725,7.2540473225404725
49009,"Daggett County, Utah",Utah,1710.0,4.0,2.3391812865497075,6.0
49011,"Davis County, Utah",Utah,541930.0,3765.0,6.947391729559167,6.947391729559167
49013,"Duchesne County, Utah",Utah,31250.0,226.0,7.231999999999998,7.231999999999998
49015,"Emery County, Utah",Utah,15720.0,113.0,7.188295165394403,7.188295165394403
49017,"Garfield County, Utah",Utah,8430.0,62.0,7.3546856465005925,7.3546856465005925
49019,"Grand County, Utah",Utah,19310.0,147.0,7.612635939927499,7.612635939927499
49021,"Iron County, Utah",Utah,69820.0,554.0,7.934689200802063,7.934689200802063
49023,"Juab County, Utah",Utah,15850.0,114.0,7.192429022082019,7.192429022082019
49025,"Kane County, Utah",Utah,11930.0,91.0,7.627829002514669,7.627829002514669
49027,"Millard County, Utah",Utah,19460.0,148.0,7.605344295991777,7.605344295991777
49029,"Morgan County, Utah",Utah,17120.0,117.0,6.834112149532712,6.834112149532712
49031,"Piute County, Utah",Utah,2060.0,11.0,5.339805825242719,6.0
49033,"Rich County, Utah",Utah,3540.0,32.0,9.039548022598868,9.039548022598868
49035,"Salt Lake County, Utah",Utah,1943220.0,13984.0,7.196303043402188,7.196303043402188
49037,"San Juan County, Utah",Utah,16960.0,139.0,8.195754716981131,8.195754716981131
49039,"Sanpete County, Utah",Utah,35960.0,276.0,7.675194660734149,7.675194660734149
49041,"Sevier County, Utah",Utah,31700.0,245.0,7.728706624605678,7.728706624605678
49043,"Summit County, Utah",Utah,84200.0,686.0,8.147268408551069,8.147268408551069
49045,"Tooele County, Utah",Utah,97070.0,676.0,6.964046564335016,6.964046564335016
49047,"Uintah County, Utah",Utah,54500.0,387.0,7.10091743119266,7.10091743119266
49049,"Utah County, Utah",Utah,824330.0,5981.0,7.255589387745199,7.255589387745199
49051,"Wasatch County, Utah",Utah,45370.0,325.0,7.163323782234957,7.163323782234957
49053,"Washington County, Utah",Utah,239220.0,1839.0,7.687484324053173,7.687484324053173
49055,"Wayne County, Utah",Utah,4350.0,37.0,8.505747126436782,8.505747126436782
49057,"Weber County, Utah",Utah,412660.0,2938.0,7.119662676295255,7.119662676295255
50001,"Addison County, Vermont",Vermont,74230.0,519.0,6.991782298262158,6.991782298262158
50003,"Bennington County, Vermont",Vermont,74240.0,558.0,7.516163793103447,7.516163793103447
50005,"Caledonia County, Vermont",Vermont,58480.0,428.0,7.3187414500684,7.3187414500684
50007,"Chittenden County, Vermont",Vermont,333460.0,2250.0,6.747435974329754,6.747435974329754
50009,"Essex County, Vermont",Vermont,11500.0,92.0,8.0,8.0
50011,"Franklin County, Vermont",Vermont,96610.0,673.0,6.966152572197496,6.966152572197496
50013,"Grand Isle County, Vermont",Vermont,15440.0,113.0,7.318652849740933,7.318652849740933
50015,"Lamoille County, Vermont",Vermont,53650.0,394.0,7.343895619757688,7.343895619757688
50017,"Orange County, Vermont",Vermont,58900.0,417.0,7.079796264855688,7.079796264855688
50019,"Orleans County, Vermont",Vermont,53910.0,417.0,7.7351140790205895,7.7351140790205895
50021,"Rutland County, Vermont",Vermont,125030.0,891.0,7.126289690474287,7.126289690474287
50023,"Washington County, Vermont",Vermont,123830.0,861.0,6.953080836630865,6.953080836630865
50025,"Windham County, Vermont",Vermont,91270.0,682.0,7.4723348307220325,7.4723348307220325
50027,"Windsor County, Vermont",Vermont,121210.0,879.0,7.2518769078458885,7.2518769078458885
51001,"Accomack County, Virginia",Virginia,64660.0,510.0,7.887411073306526,7.887411073306526
51003,"Albemarle County, Virginia",Virginia,190190.0,1422.0,7.476733792523266,7.476733792523266
51005,"Alleghany County, Virginia",Virginia,27670.0,197.0,7.119624141669679,7.119624141669679
51007,"Amelia County, Virginia",Virginia,23890.0,174.0,7.283382168271243,7.283382168271243
51009,"Amherst County, Virginia",Virginia,56290.0,411.0,7.301474507017232,7.301474507017232
51011,"Appomattox County, Virginia",Virginia,27250.0,211.0,7.7431192660550465,7.7431192660550465
51013,"Arlington County, Virginia",Virginia,493490.0,3623.0,7.341587468844353,7.341587468844353
51015,"Augusta County, Virginia",Virginia,136640.0,952.0,6.967213114754099,6.967213114754099
51017,"Bath County, Virginia",Virginia,8960.0,65.0,7.2544642857142865,7.2544642857142865
51019,"Bedford County, Virginia",Virginia,138500.0,980.0,7.075812274368231,7.075812274368231
51021,"Bland County, Virginia",Virginia,10310.0,74.0,7.177497575169737,7.177497575169737
51023,"Botetourt County, Virginia",Virginia,63870.0,431.0,6.748082041647097,6.748082041647097
